Date,Material_Filter,Forecast,RF_Pred,XGB_Pred
2025-02-22,ALL,205.38317413330077,205.9,204.86634826660156
2025-02-23,ALL,204.7441192626953,205.1375,204.35073852539062
2025-02-24,ALL,205.70645446777343,206.24375,205.16915893554688
2025-02-25,ALL,205.63921356201172,206.1875,205.09092712402344
2025-02-26,ALL,205.55167694091796,205.9,205.20335388183594
2025-02-27,ALL,205.37969207763672,205.78125,204.97813415527344
2025-02-28,ALL,205.5283660888672,206.09375,204.96298217773438
2025-03-01,ALL,205.36661224365236,205.975,204.7582244873047
2025-03-02,ALL,204.69496002197266,205.1125,204.2774200439453
2025-03-03,ALL,205.50074310302733,206.36875,204.6327362060547
2025-03-04,ALL,205.42725219726563,206.3,204.55450439453125
2025-03-05,ALL,205.37096557617187,206.075,204.66693115234375
2025-03-06,ALL,205.39438018798828,205.91875,204.87001037597656
2025-03-07,ALL,205.54930419921874,206.24375,204.8548583984375
2025-03-08,ALL,205.37286224365235,205.9875,204.7582244873047
2025-03-09,ALL,204.67621002197265,205.075,204.2774200439453
2025-03-10,ALL,205.46011810302736,206.2875,204.6327362060547
2025-03-11,ALL,205.37100219726562,206.1875,204.55450439453125
2025-03-12,ALL,205.3678405761719,206.06875,204.66693115234375
2025-03-13,ALL,205.35688018798828,205.84375,204.87001037597656
2025-03-14,ALL,205.54617919921876,206.2375,204.8548583984375
2025-03-15,ALL,205.34161224365235,205.925,204.7582244873047
2025-03-16,ALL,204.64808502197266,205.01875,204.2774200439453
2025-03-17,ALL,205.37574310302733,206.11875,204.6327362060547
2025-03-18,ALL,205.29912719726562,206.04375,204.55450439453125
2025-03-19,ALL,205.3542678833008,206.00625,204.70228576660156
2025-03-20,ALL,205.4308074951172,205.95625,204.90536499023438
2025-03-21,ALL,205.57010650634766,206.25,204.8902130126953
2025-03-22,ALL,205.34161224365235,205.925,204.7582244873047
2025-03-23,ALL,204.64808502197266,205.01875,204.2774200439453
2025-03-24,ALL,205.36949310302734,206.10625,204.6327362060547
2025-03-25,ALL,205.29912719726562,206.04375,204.55450439453125
2025-03-26,ALL,205.30221557617188,205.9375,204.66693115234375
2025-03-27,ALL,205.4308074951172,205.95625,204.90536499023438
2025-03-28,ALL,205.50760650634766,206.125,204.8902130126953
2025-03-29,ALL,205.35303955078126,205.9125,204.7935791015625
2025-03-30,ALL,204.65951232910157,205.00625,204.31277465820312
2025-03-31,ALL,205.50279541015624,206.3375,204.6680908203125
